64 bit işlemciler ne işe yarar?,"64 bit işlemciler, daha geniş veri yolları ve bellek adresleme kapasitesine sahip oldukları için daha fazla veri işleyebilirler. Bu, daha karmaşık hesaplamaların yapılmasına ve daha yüksek performansın elde edilmesine olanak tanır."
32 bit ve 64 bit işlemciler arasındaki temel fark nedir?,"Temel fark, işlemcinin sahip olduğu bit sayısıdır. 32 bit işlemciler 32 bitlik veri yolları ve bellek adresleme kapasitesine sahipken, 64 bit işlemciler 64 bitlik veri yolları ve bellek adresleme kapasitesine sahiptir."
64 bit işlemcilerin avantajları nelerdir?,"64 bit işlemciler, daha geniş bellek adresleme kapasitesi ve daha büyük veri işleme yeteneği sağlar. Bu, daha karmaşık hesaplamaların yapılmasını, daha fazla bellek kullanılmasını ve daha yüksek performansın elde edilmesini sağlar."
32 bit işlemcilerin dezavantajları nelerdir?,"32 bit işlemciler, sınırlı bellek adresleme kapasitesine ve daha düşük veri işleme yeteneğine sahiptirler. Bu nedenle, daha karmaşık uygulamaların veya büyük veri kümelerinin işlenmesi için yetersiz olabilirler."
Hangi işletim sistemleri 64 bit işlemcileri destekler?,"Çoğu modern işletim sistemi, 64 bit işlemcileri destekler. Bunlar arasında Windows, MacOS ve Linux bulunur."
Hangi uygulamalar 64 bit işlemcilerden fayda sağlar?,"Genellikle, grafik tasarımı, video düzenleme, bilimsel hesaplamalar gibi karmaşık ve yoğun hesaplama gerektiren uygulamalar 64 bit işlemcilerden daha fazla fayda sağlar."
32 bit işlemcilerin yaygın kullanım alanları nelerdir?,"32 bit işlemciler, gömülü sistemler, eski bilgisayarlar ve düşük maliyetli cihazlar gibi belirli kullanım alanlarında hala yaygın olarak kullanılmaktadır."
64 bit işlemcilerin tarihçesi nedir?,"64 bit işlemciler ilk olarak 2000'li yılların başlarında piyasaya sürüldü. Başlangıçta, kurumsal bilgisayarlar ve sunucular için tasarlandılar, ancak zamanla tüketici cihazlarında da yaygınlaştılar."
32 bit ve 64 bit işlemcilerin enerji tüketimi nasıl karşılaştırılır?,"Genellikle, 64 bit işlemciler daha fazla güç tüketir ve daha fazla ısınma eğilimindedir. Bu nedenle, enerji verimliliği önemli bir endişe olduğunda, 32 bit işlemciler tercih edilebilir."
Gergedanların en belirgin özelliği nedir?,"Gergedanların en belirgin özelliği, boynuzlardır."
Bir kurt sürüsündeki lider hangi isimle anılır?,"Bir kurt sürüsündeki lider, alfa olarak bilinir."
En büyük köpek ırkı hangisidir?,"En büyük köpek ırkı, Saint Bernard'dır."
Ormanlardaki ağaçların en uzun yaşayan türü nedir?,"Ormanlardaki ağaçların en uzun yaşayan türü, Sequoia ağaçlarıdır."
Hangi kuş türü uçmayan en büyük kuş türüdür?,"Uçmayan en büyük kuş türü, deve kuşudur."
Kuzey Amerika'da yaşayan en büyük yırtıcı hayvan hangisidir?,"Kuzey Amerika'da yaşayan en büyük yırtıcı hayvan, Kodiak ayısıdır."
En büyük deniz memelisi hangisidir?,"En büyük deniz memelisi, mavi balinadır."
Tavşanların dişleri neden sürekli uzar?,Tavşanların dişleri sürekli uzar çünkü aşınırken sürekli büyürler.
Bir penguen kolonisi bir araya geldiğinde ne adlandırılır?,Bir penguen kolonisi bir araya geldiğinde bir harem oluşturur.
Koala ayda ne kadar uyur?,Koalalar günde yaklaşık 18 saat uyur.
Ahtapotun kaç tane kalbi vardır?,Bir ahtapotun üç tane kalbi vardır.
En büyük ormanlık alan hangi kıtada bulunur?,"En büyük ormanlık alan, Amazon yağmur ormanıdır."
Dünyanın en zehirli yılanı hangisidir?,"Dünyanın en zehirli yılanı, inek deniz yılanıdır."
Bir filin hortumu ne kadar ağırdır?,"Bir filin hortumu, yaklaşık 140 kilogram ağırlığındadır."
Panda ayda ne kadar bambu yer?,Pandalar günde yaklaşık 12 ila 38 kilogram arasında bambu yer.
Güvercinlerin en iyi hatırladığı renk hangisidir?,"Güvercinlerin en iyi hatırladığı renk, yeşildir."
En hızlı uçan kuş hangisidir?,"En hızlı uçan kuş, doğanlardır."
Bir leoparın diğer adı nedir?,"Bir leoparın diğer adı, parsadır."
Dünyanın en büyük hayvanı hangisidir?,"Dünyanın en büyük hayvanı, mavi balinadır."
Bir devekuşu yumurtasının rengi nedir?,"Bir devekuşu yumurtasının rengi, beyazdır."
Hangi tür hayvanlar etobur ve otobur olabilir?,Etobur ve otobur olan türler arasında ayılar bulunur.
Bir arı kovanındaki ana arının görevi nedir?,"Bir arı kovanındaki ana arının görevi, yumurta bırakmaktır."
Bir kaplumbağanın kabuğuna ne ad verilir?,Bir kaplumbağanın kabuğuna karapaks adı verilir.
Yılanların derileri neden düzenli olarak dökülür?,Yılanların derileri düzenli olarak dökülür çünkü yeni deri büyürken eski deri atılır.
"Hangi hayvan, insanın kuzeymanyetiği hissedebilen tek hayvandır?","Bir güvercin, kuzeymanyetiği hissedebilen tek kuş türüdür."
Bilgisayar bilimleri nedir?,"Bilgisayar bilimleri, bilgisayarlar ve bilgisayar sistemleri üzerine araştırma yapan bir bilim dalıdır."
İlk bilgisayar ne zaman ve nerede icat edildi?,"İlk programlanabilir dijital bilgisayar, 1940'larda İngiltere'de Alan Turing ve diğer bilim insanları tarafından geliştirilen Colossus'tur."
Bir bilgisayarın işletim sistemi nedir?,"Bir bilgisayarın işletim sistemi, bilgisayar donanımı ve yazılım arasında arayüz sağlayan ve bilgisayarın kaynaklarını yöneten temel bir yazılım sistemidir."
Bilgisayar bilimlerinde 'algoritma' ne anlama gelir?,"Algoritma, bir problemi çözmek veya belirli bir görevi gerçekleştirmek için adım adım yönergeleri tanımlayan bir dizi mantıksal ve matematiksel işlemdir."
Nesneye yönelik programlama nedir?,"Nesneye yönelik programlama, programlama paradigmasının bir türüdür ve bir yazılımı nesneler olarak adlandırılan yapısal birimler üzerinden organize etmeyi sağlar."
Veri yapıları nedir ve neden önemlidir?,"Veri yapıları, bilgisayar bilimlerinde verileri depolamak, organize etmek ve işlemek için kullanılan yapısal birimlerdir. Veri yapıları, veri erişim hızını artırabilir, kodun daha okunabilir ve yönetilebilir olmasını sağlayabilir ve çeşitli algoritmalara temel oluşturabilir."
Yapay zeka nedir ve hangi alanlarda kullanılır?,"Yapay zeka, bilgisayarların insan benzeri zekaya sahip olması ve belirli görevleri gerçekleştirmesi için kullanılan bir alanıdır. Yapay zeka, otomatik konuşma tanıma, görüntü tanıma, oyun oynama, robotik, tıbbi teşhis ve daha birçok alanda kullanılır."
Bilgisayar ağları nedir ve nasıl çalışır?,"Bilgisayar ağları, birbirine bağlı bilgisayarların iletişim kurması için kullanılan yapısal birimlerdir. Bilgisayarlar, bu ağlar üzerinden veri alışverişi yapabilir, dosya paylaşabilir, yazıcıları paylaşabilir ve internete bağlanabilir."
Programlama dilleri nedir ve hangi amaçlarla kullanılır?,"Programlama dilleri, bilgisayarların anlayabileceği komutları ifade etmek için kullanılan yapılardır. Programlama dilleri, yazılım geliştirmek, veri analizi yapmak, web sitesi oluşturmak, mobil uygulamalar geliştirmek ve daha birçok amaç için kullanılır."
Bilgisayar güvenliği nedir ve neden önemlidir?,"Bilgisayar güvenliği, bilgisayar sistemlerini korumak ve bilgisayar korsanlarının, kötü amaçlı yazılımların ve diğer tehditlerin neden olabileceği zararlardan korumak için alınan önlemlerdir. Bilgisayar güvenliği, kişisel verilerin korunması, finansal bilgilerin güvenliği ve kritik altyapıların korunması gibi konuları içerir."
Bilgisayar bilimlerinde 'derleme' nedir?,"Derleme, kaynak kodunu makine diline veya başka bir düşük seviye programlama diline dönüştüren bir yazılım sürecidir."
Veritabanı nedir ve nasıl çalışır?,"Veritabanı, yapılandırılmış bir biçimde verilerin depolandığı ve bu verilere erişim sağlayan bir sistemdir. Veritabanları, SQL gibi sorgu dilleri kullanılarak verilere erişmeyi sağlar."
Bilgisayar ağlarında 'IP adresi' ne anlama gelir?,"IP adresi, bir bilgisayarın veya ağ cihazının bir ağda benzersiz olarak tanımlanmasını sağlayan bir sayıdır. IPv4 ve IPv6 gibi farklı sürümleri bulunur."
Bilgisayar bilimlerinde 'döngü' nedir?,"Döngü, belirli bir işlemi tekrar tekrar yapmak için kullanılan bir kontrol yapısıdır. Örneğin, for ve while döngüleri programlarda sıklıkla kullanılır."
Bir bilgisayarın bellek birimi nedir ve farklı türleri nelerdir?,"Bir bilgisayarın bellek birimi, geçici olarak veri depolamak için kullanılan birimdir. Farklı türleri arasında RAM (rastgele erişimli bellek) ve ROM (salt okunur bellek) bulunur."
Bilgisayar bilimlerinde 'şifreleme' ne anlama gelir?,"Şifreleme, verilerin güvenliğini sağlamak için kullanılan bir tekniktir. Veriler, şifreleme algoritmaları kullanılarak şifrelenir ve sadece doğru anahtara sahip kişiler tarafından çözülebilir."
Yazılım geliştirme yaşam döngüsü nedir ve hangi aşamalardan oluşur?,"Yazılım geliştirme yaşam döngüsü, bir yazılım ürününün başlangıcından sonuna kadar olan süreci tanımlar. Aşamaları arasında gereksinim analizi, tasarım, geliştirme, test ve dağıtım bulunur."
Bilgisayar bilimlerinde 'veri sıkıştırma' ne anlama gelir?,"Veri sıkıştırma, verilerin daha az miktarda depolama alanı kullanacak şekilde sıkıştırılmasıdır. Sıkıştırma algoritmaları, veri boyutunu azaltırken orijinal verinin kaybını minimize etmeye çalışır."
Yapay zeka alanında 'makine öğrenmesi' nedir ve nasıl çalışır?,"Makine öğrenmesi, bilgisayarların verilerden öğrenme yeteneği kazanmasını sağlayan bir yapay zeka alt dalıdır. Makine öğrenmesi algoritmaları, veri setlerinden örüntüleri tanımlamak ve gelecekteki tahminler yapmak için kullanılır."
Bilgisayar grafikleri nedir ve hangi amaçlarla kullanılır?,"Bilgisayar grafikleri, bilgisayar tarafından üretilen görsel içeriği oluşturan bir alandır. Animasyonlar, video oyunları, simülasyonlar ve bilimsel görselleştirmeler gibi birçok alanda kullanılır."
Bilgisayar ağlarında 'LAN' ve 'WAN' ne anlama gelir?,"LAN (Yerel Alan Ağı), bir binanın veya kampüsün içindeki bilgisayarların birbirine bağlanması için kullanılan bir ağdır. WAN (Geniş Alan Ağı), coğrafi olarak uzak yerlerdeki bilgisayarları birbirine bağlamak için kullanılan bir ağdır."
Bilgisayar bilimlerinde 'veri tabanı yönetim sistemleri (VTYS)' ne anlama gelir?,"Veritabanı yönetim sistemleri (VTYS), veritabanlarını yönetmek, depolamak ve erişmek için kullanılan yazılım sistemleridir. VTYS'ler, veri güvenliğini sağlamak, veri bütünlüğünü korumak ve veriye"
Yapay zeka nedir?,"Yapay zeka, bilgisayarların insan benzeri zeka ve öğrenme yetenekleri geliştirmek için kullanılan bir teknolojidir."
Yapay sinir ağları nedir?,"Yapay sinir ağları, beyindeki sinir hücrelerinin (nöronların) çalışma prensiplerinden esinlenerek tasarlanan bir yapay zeka modelidir."
Makine öğrenmesi nedir?,"Makine öğrenmesi, bilgisayarların verilerden öğrenme yeteneğine sahip olmasını sağlayan bir yapay zeka alt dalıdır."
Derin öğrenme nedir?,"Derin öğrenme, çok katmanlı yapay sinir ağlarının kullanıldığı makine öğrenmesi yöntemidir ve karmaşık veri yapılarını analiz etmek için etkili bir şekilde kullanılır."
Doğal dil işleme nedir?,"Doğal dil işleme, bilgisayarların insan dilini anlaması, yorumlaması ve üretmesi için kullanılan bir yapay zeka alt dalıdır."
Görüntü tanıma nedir?,"Görüntü tanıma, bilgisayarların görüntülerdeki desenleri, nesneleri veya özellikleri tanımlama yeteneğini ifade eder ve genellikle yapay zeka teknikleriyle gerçekleştirilir."
Tasarım desenleri (pattern recognition) nedir?,"Tasarım desenleri, belirli bir kalıbı veya özellikleri tanımlama yeteneğini ifade eder ve yapay zeka alanında veri analizi ve sınıflandırma için kullanılan bir yöntemdir."
Güçlü yapay zeka nedir?,"Güçlü yapay zeka, genel amaçlı zeka ve öğrenme yeteneklerine sahip olan bir yapay zeka türüdür ve insan zekasına benzer karmaşık görevleri yerine getirebilir."
Zayıf yapay zeka nedir?,"Zayıf yapay zeka, belirli bir görevi yerine getirebilen ve belirli koşullar altında işlev görebilen bir yapay zeka türüdür ve genellikle sınırlı bir alanda uzmanlaşmıştır."
Yapay zeka etik sorunları nelerdir?,"Yapay zeka etik sorunları arasında özerk silahlar, veri gizliliği, otomatik karar alma süreçleri, işsizlik ve insan yerine geçme gibi konular bulunur."
Yapay zeka hangi alanlarda kullanılır?,"Yapay zeka, sağlık, finans, eğitim, ulaşım, üretim, güvenlik, eğlence ve daha birçok alanda kullanılmaktadır."
Yapay zeka avantajları nelerdir?,"Yapay zeka, insan hatalarını azaltabilir, verimliliği artırabilir, karmaşık problemleri çözebilir, tekrarlanan görevleri otomatikleştirebilir ve yeni keşifler yapabilir."
Yapay zeka dezavantajları nelerdir?,"Yapay zeka, veri gizliliği endişeleri, işsizlik riskleri, algoritma yanlılığı, etik sorunlar ve ahlaki endişeler gibi çeşitli dezavantajlarla karşılaşabilir."
Yapay zeka ve robotik arasındaki fark nedir?,"Yapay zeka, bilgisayarların zeka ve öğrenme yeteneklerini geliştirmek için kullanılan bir teknolojidir. Robotik ise fiziksel cihazların (robotların) kontrolünü sağlamak için kullanılan bir teknolojidir."
Yapay zeka ve makine öğrenmesi arasındaki fark nedir?,"Makine öğrenmesi, belirli bir görevi gerçekleştirmek için veri örneklerinden öğrenme yeteneği olan bir yapay zeka alt dalıdır. Yapay zeka ise genel olarak bilgisayarların insan benzeri zeka ve öğrenme yeteneklerini geliştirmesi için kullanılan bir teknolojidir."
Yapay zeka ve derin öğrenme arasındaki fark nedir?,"Derin öğrenme, çok katmanlı yapay sinir ağlarının kullanıldığı bir makine öğrenmesi yöntemidir. Yapay zeka ise genel olarak bilgisayarların insan benzeri zeka ve öğrenme yeteneklerini geliştirmesi için kullanılan bir teknolojidir."
Yapay zeka nasıl çalışır?,"Yapay zeka, veri analizi, örüntü tanıma, karar verme ve öğrenme gibi işlevleri gerçekleştirmek için algoritmalar ve hesaplama modelleri kullanır."
Yapay zeka hangi dillerde yazılır?,"Yapay zeka uygulamaları genellikle Python, R, Java, C++, MATLAB ve Scala gibi programlama dillerinde yazılır."
Yapay zeka ve iş zekası (BI) arasındaki fark nedir?,"İş zekası, veri analizi ve iş kararlarını desteklemek için kullanılan bir teknolojidir. Yapay zeka ise bilgisayarların insan benzeri zeka ve öğrenme yeteneklerini geliştirmek için kullanılan bir teknolojidir."
Yapay zeka ve derin öğrenme arasındaki ilişki nedir?,"Derin öğrenme, yapay zeka alanında kullanılan bir alt dalıdır ve çok katmanlı yapay sinir ağlarının kullanıldığı bir makine öğrenmesi yöntemidir."
Yapay zeka türleri nelerdir?,"Yapay zeka türleri arasında güçlü yapay zeka, zayıf yapay zeka, genel yapay zeka ve özel yapay zeka bulunur."
Yapay zeka ve veri bilimi arasındaki ilişki nedir?,"Veri bilimi, verileri analiz etmek, modellemek ve yorumlamak için istatistiksel ve bilgisayar bilimi tekniklerini kullanır. Yapay zeka ise bilgisayarların insan benzeri zeka ve öğrenme yeteneklerini geliştirmek için kullanılan bir teknolojidir."
Türkiye'nin başkenti neresidir?,Ankara
Almanya'nın başkenti neresidir?,Berlin
Fransa'nın başkenti neresidir?,Paris
İngiltere'nin başkenti neresidir?,Londra
İtalya'nın başkenti neresidir?,Roma
İspanya'nın başkenti neresidir?,Madrid
Portekiz'in başkenti neresidir?,Lizbon
Yunanistan'ın başkenti neresidir?,Atina
Hindistan'ın başkenti neresidir?,Yeni Delhi
Çin'in başkenti neresidir?,Pekin
Japonya'nın başkenti neresidir?,Tokyo
Kanada'nın başkenti neresidir?,Ottawa
ABD'nin başkenti neresidir?,"Washington, D.C."
Meksika'nın başkenti neresidir?,Meksiko Şehri
Brezilya'nın başkenti neresidir?,Brasília
Arjantin'in başkenti neresidir?,Buenos Aires
Rusya'nın başkenti neresidir?,Moskova
Avustralya'nın başkenti neresidir?,Canberra
Güney Afrika'nın başkenti neresidir?,"Pretoria (Yürütme), Cape Town (Yasama), Bloemfontein (Yargı)"
Mısır'ın başkenti neresidir?,Kahire
Nijerya'nın başkenti neresidir?,Abuja
Gana'nın başkenti neresidir?,Akra
Norveç'in başkenti neresidir?,Oslo
Tayland'ın başkenti neresidir?,Bangkok
Atom nedir?,"Atom, maddenin en küçük yapı taşıdır ve bir elementin kimyasal özelliklerini koruyan parçacıktır."
DNA nedir?,"DNA, deoksiribonükleik asit olarak bilinen, genetik bilgiyi taşıyan moleküllerin uzun zinciridir."
Einstein'ın ünlü denklemi nedir?,"E=mc², enerjinin kütle ile ışık hızının karesi çarpımına eşit olduğunu ifade eden ünlü denklemidir."
Evrim nedir?,"Evrim, canlı türlerinin zaman içinde ortak bir atadan türediğini ve türlerin zamanla değiştiğini açıklayan bir bilimsel teoridir."
Fotosentez nedir?,"Fotosentez, bitkilerin güneş ışığını kullanarak su ve karbondioksiti glikoz ve oksijene dönüştürdüğü biyokimyasal bir süreçtir."
Galaksi nedir?,"Galaksi, yıldızlar, gaz ve toz bulutları ile karanlık maddenin yer çekimiyle bir arada tutulduğu devasa bir uzay yapılarıdır."
Higgs bozonu nedir?,"Higgs bozonu, diğer parçacıklara kütlesini kazandıran Higgs alanı ile etkileşime giren bir parçacıktır."
İyon nedir?,"İyon, elektriksel olarak yüklü bir atom veya moleküldür."
Küresel ısınma nedir?,"Küresel ısınma, atmosferdeki sera gazlarının birikmesi nedeniyle dünya genelinde ortalama sıcaklık artışıdır."
Lazer nedir?,"Lazer, uyarılmış yayılımı yoluyla monokromatik ışık üreten bir cihazdır."
Newton'un hareket yasaları nelerdir?,"Newton'un hareket yasaları, bir cismin hareketinin nedenlerini ve etkilerini açıklayan üç temel prensiptir."
Ozon tabakası nedir?,"Ozon tabakası, yüksek atmosferde yer alan ve zararlı güneş ışınlarını engelleyen bir gaz tabakasıdır."
Parçacık fizik nedir?,"Parçacık fizik, atomaltı parçacıkların özelliklerini, etkileşimlerini ve davranışlarını inceleyen bir fizik dalıdır."
Radyasyon nedir?,"Radyasyon, enerji veya parçacıkların elektromanyetik dalgalar veya parçacıklar halinde yayılmasıdır."
Süpernova nedir?,"Süpernova, yıldızın patlaması sonucu oluşan ve çok parlak bir şekilde parlayan bir olaydır."
Termodinamik nedir?,"Termodinamik, enerji dönüşümlerini ve termal etkileşimleri inceleyen bir fizik dalıdır."
Üstüniletkenlik nedir?,"Üstüniletkenlik, belirli bir sıcaklıkta elektrik direncinin sıfıra düştüğü bir fenomen olarak tanımlanır."
Voltaj nedir?,"Voltaj, bir elektrik devresindeki potansiyel farkı veya elektrik potansiyelidir."
Watt nedir?,"Watt, güç birimidir ve bir saniyede bir joule enerjiye eşittir."
X ışınları nedir?,"X ışınları, yüksek enerjili elektromanyetik ışımalardır ve tıpta görüntüleme amaçları için kullanılır."
Yerçekimi nedir?,"Yerçekimi, iki cisim arasındaki çekim kuvvetidir ve genellikle bir gezegenin veya gökcisminin yüzeyinde hissedilir."
Zaman nedir?,"Zaman, olayların sıralanmasını, ölçülmesini ve geçişini tanımlayan bir kavramdır."
Büyük Patlama (Big Bang) nedir?,"Büyük Patlama, evrenin başlangıcında gerçekleştiği düşünülen ve evrenin genişlemesine neden olan bir olaydır."
Dalga nedir?,"Dalga, bir enerji veya madde taşıyıcısı olan bir fenomendir ve genellikle bir ortamda yayılır."
Frekans nedir?,"Frekans, bir dalga veya titreşimin birim zamanda tamamladığı döngü sayısıdır."
Gen nedir?,"Gen, bir organizmanın kalıtsal özelliklerini taşıyan ve DNA molekülünde kodlanmış bir bölgedir."
Hangi yıl İstanbul'un fethi gerçekleşmiştir?,1453
Hangi tarihler arasında I. Dünya Savaşı gerçekleşmiştir?,1914-1918
Amerika Birleşik Devletleri'nin bağımsızlık günü hangi tarihte kutlanır?,4 Temmuz
Hangi yılnda Fransız Devrimi gerçekleşmiştir?,1789
Atatürk'ün doğum tarihi nedir?,1881
Hangi yılnda Türkiye Cumhuriyeti kurulmuştur?,1923
Hangi tarihte Berlin Duvarı yıkılmıştır?,9 Kasım 1989
Hangi yılnda Hindistan bağımsızlığını kazanmıştır?,1947
Hangi tarihler arasında Kore Savaşı gerçekleşmiştir?,1950-1953
Hangi yılnda Amerika kıtasını keşfeden kaşif Kristof Kolomb'un keşif seferi gerçekleşmiştir?,1492
Hangi yılnda Titanic gemisi battı?,1912
Hangi tarihler arasında İspanyol İç Savaşı gerçekleşmiştir?,1936-1939
"Hangi yılnda Apollo 11, Ay'a ilk insanlı inişi gerçekleştirdi?",1969
Hangi tarihte Sovyetler Birliği dağılmıştır?,26 Aralık 1991
Hangi yılnda Hiroşima ve Nagazaki'ye atom bombası atılmıştır?,1945
Hangi tarihler arasında Kırım Savaşı gerçekleşmiştir?,1853-1856
Hangi yılnda Napolyon Bonapart Fransa İmparatoru ilan edilmiştir?,1804
Hangi tarihler arasında Vietnam Savaşı gerçekleşmiştir?,1955-1975
Hangi yılnda Almanya'nın birleşmesi gerçekleşmiştir?,1990
Hangi tarihler arasında Kuşatma ve Balkan Savaşları gerçekleşmiştir?,1912-1913
Hangi yılnda Amerika'nın bağımsızlık bildirgesi kabul edilmiştir?,1776
Hangi tarihler arasında İspanya'nın keşifleri gerçekleşmiştir?,15. ve 16. yüzyıllar
Hangi yılnda Sovyetler Birliği'nin ilk insanlı uzay uçuşu gerçekleşmiştir?,1961
Hangi tarihler arasında Osmanlı İmparatorluğu'nun yıkılışı gerçekleşmiştir?,19. ve 20. yüzyıllar
Kim atomun yapısını ilk kez açıklamıştır?,Niels Bohr
"Hangi yıl Albert Einstein, ünlü formülü E=mc²'yi yayınlamıştır?",1905
Hangi bilim insanı yerçekimi kanununu formüle etmiştir?,Isaac Newton
Hangi yılnda ilk insanlı uçuş gerçekleştirilmiştir?,1961
Hangi bilim dalı mikroorganizmaları inceleyen bir bilim dalıdır?,Mikrobiyoloji
"Hangi yılnda ilk yapay uydu, Sputnik 1, uzaya fırlatılmıştır?",1957
Hangi bilim dalı DNA'nın yapısını ve işlevini inceler?,Genetik
"Hangi bilim insanı, evrenin genişlediğini keşfetmiştir?",Edwin Hubble
Hangi yılnda ilk insanlı ay inişi gerçekleştirilmiştir?,1969
Hangi bilim dalı ışığın hareketini inceleyen bir bilim dalıdır?,Optik
Hangi bilim dalı insan vücuduyla ilgilenen bir bilim dalıdır?,Anatomi
"Hangi bilim insanı, Dünya'nın Güneş etrafında dönme hareketini açıklamıştır?",Nicolaus Copernicus
"Hangi bilim dalı, gezegenlerin, yıldızların ve diğer gök cisimlerinin hareketlerini inceler?",Astronomi
"Hangi bilim insanı, radyoaktiviteyi keşfetmiştir?",Marie Curie
"Hangi bilim dalı, hayvan davranışlarını inceleyen bir bilim dalıdır?",Etoloji
"Hangi bilim insanı, yerçekimi dalgalarının varlığını öne sürmüştür?",Albert Einstein
"Hangi yılnda ilk ticari internet tarayıcısı, Netscape Navigator, piyasaya sürülmüştür?",1994
"Hangi bilim dalı, madenlerin, mineral ve metalik kayaların özelliklerini inceler?",Jeoloji
"Hangi bilim insanı, elektrik ve manyetizma arasındaki ilişkiyi keşfetmiştir?",Michael Faraday
Hangi yılnda ilk cep telefonu ticari olarak satışa sunulmuştur?,1983
"Hangi bilim dalı, suyun fiziksel ve kimyasal özelliklerini inceleyen bir bilim dalıdır?",Hidroloji
"Hangi bilim insanı, evrenin genişlediğini ilk öne süren kişidir?",Georges Lemaître
Hangi yılnda ilk elektrikli lamba icat edilmiştir?,1879
"Hangi bilim dalı, enerjinin dönüşümünü ve kullanımını inceleyen bir bilim dalıdır?",Fizik
"Hangi bilim insanı, modern genetik biliminin kurucusu olarak kabul edilir?",Gregor Mendel
Hangi yıl Amerika Birleşik Devletleri bağımsızlığını ilan etmiştir?,1776
Hangi yıl Fransız Devrimi başlamıştır?,1789
Hangi yıl Osmanlı İmparatorluğu yıkılmıştır?,1922
Hangi yıl İstanbul'un fethi gerçekleşmiştir?,1453
Hangi yıl Meksika'nın bağımsızlığı ilan edilmiştir?,1810
Hangi yıl Berlin Duvarı yıkılmıştır?,1989
